IDCNTRY,IDSCHOOL,IDTEALIN,IDTEACH,IDLINK,ITCOURSE,ATBG01,ATBG02,ATBG03,ATBG04,ATBG05AA,ATBG05AB,ATBG05AC,ATBG05AD,ATBG05AE,ATBG05AF,ATBG05BA,ATBG05BB,ATBG05BC,ATBG05BD,ATBG06A,ATBG06B,ATBG06C,ATBG06D,ATBG06E,ATBG06F,ATBG06G,ATBG06H,ATBG06I,ATBG06J,ATBG06K,ATBG06L,ATBG07A,ATBG07B,ATBG07C,ATBG07D,ATBG07E,ATBG07F,ATBG07G,ATBG07H,ATBG08A,ATBG08B,ATBG08C,ATBG08D,ATBG08E,ATBG09A,ATBG09B,ATBG09C,ATBG09D,ATBG09E,ATBG09F,ATBG09G,ATBG09H,ATBG10A,ATBG10B,ATBG11,ATBG12A,ATBG12B,ATBG12C,ATBG12D,ATBG12E,ATBG12F,ATBG12G,ATBG12H,ATBG13A,ATBG13B,ATBG13C,ATBG13D,ATBG13E,ATBG13F,ATBG13G,ATBG13H,ATBM01,ATBM02A,ATBM02B,ATBM02C,ATBM02D,ATBM02E,ATBM02F,ATBM02G,ATBM02H,ATBM03,ATBM04A,ATBM04BA,ATBM04BB,ATBM04BC,ATBM04CA,ATBM04CB,ATBM04CC,ATBM04CD,ATBM05AA,ATBM05AB,ATBM05AC,ATBM05AD,ATBM05AE,ATBM05AF,ATBM05AG,ATBM05BA,ATBM05BB,ATBM05BC,ATBM05BD,ATBM05BE,ATBM05BF,ATBM05BG,ATBM05CA,ATBM05CB,ATBM05CC,ATBM06A,ATBM06B,ATBM06CA,ATBM06CB,ATBM06CC,ATBM07A,ATBM07B,ATBM07C,ATBM07D,ATBM07E,ATBM08,ATBM09AA,ATBM09BA,ATBM09AB,ATBM09BB,ATBM09AC,ATBM09BC,ATBM09AD,ATBM09BD,ATBM09AE,ATBM09BE,ATBM09AF,ATBM09BF,ATBM09AG,ATBM09BG,ATBM10,ATBS01A,ATBS01B,ATBS02A,ATBS02B,ATBS02C,ATBS02D,ATBS02E,ATBS02F,ATBS02G,ATBS02H,ATBS02I,ATBS02J,ATBS02K,ATBS02L,ATBS02M,ATBS03A,ATBS03BA,ATBS03BB,ATBS03BC,ATBS03CA,ATBS03CB,ATBS03CC,ATBS03CD,ATBS04AA,ATBS04AB,ATBS04AC,ATBS04AD,ATBS04AE,ATBS04AF,ATBS04AG,ATBS04BA,ATBS04BB,ATBS04BC,ATBS04BD,ATBS04BE,ATBS04BF,ATBS04BG,ATBS04BH,ATBS04BI,ATBS04BJ,ATBS04BK,ATBS04BL,ATBS04CA,ATBS04CB,ATBS04CC,ATBS04CD,ATBS04CE,ATBS04CF,ATBS04CG,ATBS05A,ATBS05B,ATBS05CA,ATBS05CB,ATBS05CC,ATBS06A,ATBS06B,ATBS06C,ATBS06D,ATBS06E,ATBS07,ATBS08AA,ATBS08BA,ATBS08AB,ATBS08BB,ATBS08AC,ATBS08BC,ATBS08AD,ATBS08BD,ATBS08AE,ATBS08BE,ATBS08AF,ATBS08BF,ATBS08AG,ATBS08BG,ATBS08AH,ATBS08BH,ATBS09,IDPOP,IDGRADER,IDGRADE,IDSUBJ,ITLANG_T,LCID_T,ATBGEAS,ATDGEAS,ATBGSOS,ATDGSOS,ATBGTJS,ATDGTJS,ATBGLSN,ATDGLSN,ATBSESI,ATDSESI,ATDMNUM,ATDMGEO,ATDMDAT,ATDMMEM,ATDSLIF,ATDSPHY,ATDSEAR,ATDSMES,VERSION,SCOPE
208.0,5007.0,50070101.0,500701.0,1.0,7.0,3.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,22.0,22.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,140.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,90.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,,,,,1.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,11.0,1030.0,9.73164,2.0,13.35176,1.0,10.7516,1.0,11.50809,1.0,6.59218,2.0,100.0,71.42857,100.0,3.0,57.14286,83.33333,71.42857,4.0,5.0,1.0
208.0,5009.0,50090203.0,500902.0,3.0,7.0,3.0,2.0,3.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,28.0,28.0,0.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,,2.0,2.0,2.0,2.0,1.0,1.0,225.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,135.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,3.0,11.0,1030.0,10.67878,2.0,9.48469,2.0,10.16724,1.0,10.17888,2.0,8.14968,2.0,42.85714,100.0,100.0,3.0,42.85714,25.0,42.85714,3.0,5.0,1.0
208.0,5010.0,50100101.0,501001.0,1.0,1.0,4.0,1.0,2.0,5.0,,2.0,2.0,,,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,23.0,23.0,0.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,150.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,1.0,11.0,1030.0,8.78504,3.0,10.56968,1.0,8.28271,2.0,9.76704,2.0,,,85.71429,83.33333,0.0,,,,,,5.0,1.0
208.0,5010.0,50100202.0,501002.0,2.0,6.0,24.0,2.0,5.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,20.0,20.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,100.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,11.0,1030.0,8.47613,3.0,9.99265,1.0,10.7516,1.0,12.22222,1.0,10.69474,2.0,,,,2.0,57.14286,75.0,28.57143,2.0,5.0,1.0
208.0,5011.0,50110101.0,501101.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,5.0,1.0
208.0,5012.0,50120101.0,501201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,1.0
208.0,5012.0,50120202.0,501202.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,1.0
208.0,5013.0,50130101.0,501301.0,1.0,7.0,11.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,23.0,23.0,0.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,225.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,90.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,11.0,1030.0,10.99017,2.0,12.02318,1.0,11.72115,1.0,11.50809,1.0,8.93739,2.0,85.71429,85.71429,100.0,1.0,57.14286,25.0,57.14286,1.0,5.0,1.0
208.0,5014.0,50140101.0,501401.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,1.0
208.0,5014.0,50140103.0,501401.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,5.0,1.0
208.0,5014.0,50140202.0,501402.0,2.0,6.0,12.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,28.0,28.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,135.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,,,,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,11.0,1030.0,9.09785,3.0,7.46639,2.0,8.28271,2.0,9.23472,2.0,6.59218,2.0,,,,1.0,57.14286,16.66667,28.57143,2.0,5.0,1.0
208.0,5015.0,50150101.0,501501.0,1.0,7.0,4.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,23.0,23.0,0.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,225.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,,,,,,,,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,135.0,1.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,,,,,1.0,1.0,3.0,3.0,3.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,11.0,1030.0,8.47613,3.0,8.21647,2.0,7.47949,2.0,10.8887,1.0,8.14968,2.0,71.42857,57.14286,66.66667,1.0,71.42857,33.33333,85.71429,2.0,5.0,1.0
208.0,5017.0,50170101.0,501701.0,1.0,1.0,35.0,1.0,6.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,23.0,23.0,0.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,240.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,1.0,11.0,1030.0,9.73164,2.0,9.99265,1.0,6.92137,2.0,9.76704,2.0,,,100.0,100.0,66.66667,1.0,,,,2.0,5.0,1.0
208.0,5017.0,50170202.0,501702.0,2.0,6.0,28.0,1.0,4.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,23.0,23.0,0.0,1.0,1.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,100.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,2.0,2.0,3.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,11.0,1030.0,10.36524,2.0,12.02318,1.0,11.72115,1.0,10.31572,2.0,6.59218,2.0,,,,2.0,100.0,66.66667,100.0,1.0,5.0,1.0
208.0,5018.0,50180101.0,501801.0,1.0,1.0,39.0,2.0,6.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,19.0,19.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,240.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,1.0,11.0,1030.0,10.04926,2.0,12.02318,1.0,10.7516,1.0,10.31572,2.0,,,100.0,85.71429,66.66667,2.0,,,,2.0,5.0,1.0
208.0,5018.0,50180202.0,501802.0,2.0,6.0,26.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,19.0,19.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,150.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,,,,,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,11.0,1030.0,11.61202,2.0,13.35176,1.0,10.16724,1.0,11.50809,1.0,6.59218,2.0,,,,2.0,71.42857,16.66667,85.71429,1.0,5.0,1.0
208.0,5019.0,50190101.0,501901.0,1.0,1.0,5.0,2.0,3.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,23.0,23.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,240.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,1.0,11.0,1030.0,7.86777,3.0,11.22966,1.0,11.72115,1.0,11.50809,1.0,,,71.42857,71.42857,100.0,3.0,,,,4.0,5.0,1.0
208.0,5019.0,50190202.0,501902.0,2.0,6.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,23.0,23.0,1.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,120.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,,,,,1.0,1.0,3.0,3.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,11.0,1030.0,7.56488,3.0,9.48469,2.0,8.28271,2.0,11.50809,1.0,6.59218,2.0,,,,4.0,42.85714,8.33333,71.42857,4.0,5.0,1.0
